"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-55.4543612122816,30.8480257098548,-1.79766321948331,0.0997038353440372
"cyl",-2.61782105956974,1.44324263118596,-1.81384682173543,0.0970451382293234
"disp",0.0379384131208346,0.0236264412203566,1.60576079854747,0.136628357404008
"hp",0.041316214480152,0.03352468202191,1.23241182282206,0.243487411074641
"drat",3.35231292667233,1.88941743166839,1.774257435379,0.103666155950171
"wt",-8.06452552723356,2.69058500260711,-2.99731304508843,0.0121379922331111
"qsec",5.12287991247632,1.60942894476244,3.18304199085502,0.00871383038738264
"vs",-9.9903750213041,4.08150194495322,-2.44772026475627,0.0323764367588259
"am",-0.152413015160327,2.8230087882658,-0.0539895645361968,0.957911551000869
"gear",0.532371944694846,1.75753482620979,0.302908333169666,0.767611179404405
"carb",0.821040159400921,1.14276323922858,0.718469172980364,0.487448706414148
